line,isMetaphor
வான் பார்த்த பூமி மேகத்தை தேடி,1
போகின்ற காலம் இதுஒன் டூ ஒன் டூ ஒன் டூ த்ரீ போர் பைவ்,0
மேலே இன்னும் மேலே,0
அந்த வானில் நான் செல்லுகிறேன்,1
ஏதேதோ கேட்கின்றது,0
மலரே என்னென்ன கோலம்,0
எதனால் என் மீது கோபம்,0
தினமும் வெவ்வேறு நிறமோ,0
உனக்கேன் என்னோடு பந்தம்,0
நினைத்தால் எட்டாத தூரம்,1
எனக்கேன் உன் மீது மோகம்,0
நிலவை வானத்தில் பார்த்து,0
அருகே வாவென்று கேட்டு,0
இருக்கும் வர்க்கங்கள் இரண்டு,0
உலகில் இப்போதும் உண்டு,0
சமவெளி மலைகளை தழுவிட நினைத்தால்,0
மலரிதழில் சிறு பனித்துளிகள்,0
முத்தாரம் தொடுக்கின்றன,0
வாழ்த்துக்கள் இசைக்கின்றது,0
வாழ்த்தும் இசை பாட்டும்,0
புண்ணாக வேண்டுமோ,0
மகவரியில் என் முகவரிகள்,0
நான் கொஞ்சம் வரைந்தால் என்ன,0
மாலை இந்த வேளை சந்திக்க,0
யாருக்கும் தெரியாமலே,0
நீயும் மடல் போடு,0
உன் அங்கத்தில் யார் தந்தது,0
சந்தத்தில் மாறாத நடையோடு,0
என் முன்னே யார் வந்தது,0
தமிழ்ச் சங்கத்தில் பாடாத கவிதை,1
நீ சொன்னால் நான் நம்பி விடவோ,0
மை கொஞ்சம் கண்ணுக்குள் நீ கொண்டு வருவாய்,0
ஆடட்டும் என் கைகளில்,0
கண்ணுக்குள் என்னென்ன நளினம்,0
ஆடை ஏன் உன் மேனி அழகை,0
நாளைக்கே ஆனந்த விடுதலை,1
காணட்டும் காணாத உறவில்,0
கை தொட்டு வாராய் என் தோழா,0
மணப் பந்தல் காண வாராயோ,0
பதினாறும் பெற்று தலைவா நீயும்,0
எட்டு முழ வேஷ்டி சூடும் அழகா,0
கலையாத கிராப்பு தலையா,1
சரியான ஜோடி பிடிச்சாயோ,0
பொதுவாக சொல்லப் போனால்,0
நல்ல பெண்டாட்டிதாசன் நீயே,0
பி.டி.உஷாவைப் போலே,1
புடவைகள் நீயும் துவைப்பாயோ,0
அளவோடு பிள்ளை பெற்று,0
நீ வளமாக வாழ வேண்டும்,0
எளிதான வழிகள் உண்டு,0
விளையாட்டில் இன்பம் மலராதோ,0
தாளம் தட்டுங்கள் ஆட்டங்கள் போட,0
தாவணிக்குள் ஆடி வர,0
நான் கொடுக்க நீ எடுக்க,0
என்னிடத்தில் என்ன இல்லை,0
தேவைப்பட்டால் தேடி ஏடு,0
உச்சி முதல் பாதம் வரை,0
பாக்கு தோப்புல பாட்டு கேட்டியே,0
பாக்கு வெத்தல மாத்தவில்லையே,0
ஓஓஓஹ் என் தோட்ட முல்லை கூட,0
மாசம் பார்த்து பரிசம் போடு,0
தன்னாலே தருவேன் சொந்தம் வந்தால்,0
பண்பாடு நாடும் பெண்ணோடு நாணம்,0
பாக்கு தோப்புல பாட்டு கேட்டேனே,0
பாக்கு வெத்தல மாத்திப்புட்டேனே,0
பூ முல்லை கட்டில் போட்டு,1
உன் மேனி தழுவ வந்தாலென்ன,0
என் தோட்ட முல்லை கூட,0
என்னைப் போல தூங்கல,1
மதுரக்காரன்தானா தீவானா,0
மதுரக்காரன்தான்டி வாயேண்டி,0
பருவ பாட்டு படிப்போம் படிச்சிக்கிட்டு,0
அடிக்கடி விழியை காட்டி நடிப்போம்,0
சித்தாட கொத்தாக முன்னாடி சரிஞ்சிட,1
சிட்டாட்டம் சிறகடிக்க,0
முத்தாரம் பதிக்காத கன்னந்தான்,1
நெனச்சதும்தான் கெடச்சிடுமா,0
கண்டால் காதல் மயக்கம்,0
தீவானா ஆவானா,0
மனசு மாறுவானா,0
முந்தான மூடும் வெட்கத்தால்,0
அடிக்கரும்பா இனிக்கிறியே,1
விட்டாப் போதும் மெதுவா,0
மதுரக்காரன்தான்டி வாயேன்டி,0
நான்தான்டி உன் மனசுக்கேத்தவன்டி,0
ராஜாதி ராஜன்தானே நாலு பேரும்,0
காசுக்கு பஞ்சமில்லை நல்ல நேரம்,0
ஏரிக்கரையில் வாடைப் பனியில்,0
ஆடுவதென்ன பூந்தேரு ஆடை கட்டிக்கிட்டு,1
நில்லடியம்மா ராசாத்தி நாளும் உன்ன வைப்பேன்,0
தாய்க்குலத்த கிண்டல் பண்ணும் ஆளு நீ கேளு,0
ஆசைக்கு குத்தமில்ல,0
யாருமே சுத்தமில்ல,0
நாலும் கேட்டு போயாச்சு,0
பட்டணமும் பட்டிக்காடா சொல்லு,0
ஒத்துக்காட்டி ஒத்தி போயி நில்லு,0
ஆட்டத்தையும் நோட்டத்தையும் பாரு,0
ஆட்டத்தில் குத்தமில்ல ஆடைதான் பத்தவில்ல,1
போடப்போட உல்லாசம் தண்ணி போட்டுக்கிட்டு,0
உள்ளதெல்லாம் ரெண்டாகும் போதை ஏற ஏற,0
உன்னுடைய பேரக் கொஞ்சம் சொல்லி,0
நான் சொல்லி என்ன அண்ணே,0
சொல்லப் போனால் வள்ளல் நீதான் அண்ணே,0
உன்னப் போல யாருமில்ல சொன்னேன்,1
ஏண்டா நீ கெட்டுப் போறே,0
பாதைய விட்டுப் போறே,0
காதல் காயங்களே நீங்கள் ஆறுங்களே,0
சோக நெஞ்சங்களே ஜோடி மாறுங்களே,0
வானம் அது ஒன்றுதான்,0
வானில் நிலவொன்றுதான்,0
காதல் கலைந்தாலும் மனதில்,0
உண்மை காதல் என்றும் கட்சி மாறி போகாதடா,0
பெண்மை பொல்லாதது,0
நேர்மை இல்லாதது,0
உண்மை தெரியாத மனிதா,0
உண்மை காதல் என்று இங்கு ஒன்றும் இல்லை,1
நீயும் காதல் கொள்ள வேறு பெண்ணா இல்லை,0
நீயும் வாழும் போது வாழ வேண்டும் வழியா இல்லை,0
என்ன பாடச் சொல்லாதே,0
அதக் கேட்டா மடையனுக்கும் ஞானம் பொறந்திடும்,1
கேட்டா மடையனுக்கும்,0
ஞானம் பொறந்திடும்,0
அட மூடிக் கெடக்கும் பல,0
தேவாரமும் படிச்சோம் திருவாசகம் படிச்சோம்,0
ஆனான படிப்பை எல்லாம்,0
அன்னாடம் படிச்சிபுட்டு,0
அறிவான ஆத்திச்சூடி,0
கொடுத்தாளே அவ்வைப்பாட்டி,0
நாடும் என்னாச்சு நம்ம ஊரும் என்னாச்சு,0
இந்த தேசம் ரொம்ப மோசம்,0
என்னப் பாடச் சொல்லாதே நான் கண்டபடி பாடிப்புடுவேன்,0
காம்போதியும் தெரியும்,0
கல்யாணியும் புரியும்,0
ஆகாத பொழப்பை எல்லாம்,0
அநியாய நடப்பை எல்லாம்,0
நாய் வால நிமிர்த்துறதும்,0
காக்காய வெளுக்குறதும்,1
அட போட்டிப் போட்டாக்க,0
ஒரு வேகம் ஒரு கோபம்,0
அதக் கேட்டா மடையனுக்கும்,0
காதல் கசக்குதயா,0
வர வர காதல் கசக்குதயா,0
லவ்வுன்னுதான் துடிக்கும்,0
தோத்து போனா குடிக்கும்,0
யாராரோ காதலிச்சு,0
யாராரோ காதலிச்சு உருப்படல ஒண்ணும் சரிப்படல,0
வாழ்கையிலே என்றும் சுகப்படல,0
காதல்ல படம் எடுத்தா ஓடுமுங்க,0
தேவதாஸ் அவன் பார்வதி,0
அம்பிகாபதி அமராவதி,0
கதைய கேளு முடிவ பாரு,0
எனக்கிந்த காதல் கசக்குதயா,0
எத்தனை சினிமா எத்தனை டிராமா பாத்தாச்சு,0
எத்தனை டூயட் எத்தனை டியூன் கேட்டாச்சு,0
எத்தனை பாட்டு இத்தனை கேட்டு என்னாச்சு,0
கிட்டப்பா அந்த காலத்துல காயாத கானகத்தே,0
நடையா இது நடையா,1
நம்ம நடிகர் திலகம் பாணியிலே,0
ஹலோ ஹலோ சுகமா,0
அட ஆமாம் நீங்க நலமா,0
எங்கேயும்தான் கேட்டோம்,0
இந்த கால இளைஞர் செய்யும் காதலுக்கு,0
இளையராஜா எந்தன் பாட்டிருக்கு,0
வீட்டுல அதை பாடுங்க,0
பொண்டாட்டிய லவ் பண்ணுங்க,0
நம்ம தகப்பன் பேச்ச தாயின் பேச்ச மதிக்கணும்,0
காதல் மோதல் சாதல்,0
குயிலே குயிலே பூங்குயிலே,0
மயிலே மயிலே வா மயிலே,1
தொட்டாலே நீ சிணுங்கும்,0
பட்டாலே பத்திக்கொள்ளும்,0
ஒட்டிக்கிற கட்டிகிற சிட்டுக் குருவி,0
இது ஆணுக்கும் பெண்ணுக்கும்,0
ராசாதி ராசனத்தான் கட்டிக்கொள்ள,0
ராசாத்தி என்ன செய்வா,0
அன்னைக்கொரு எழுத்த எனக்கெழுதிபுட்டான்,0
பெண்ணே பழி அவன் மேலே சொல்லாதடி,0
தவறோ சரியோ விதி இதுதான்,0
ஒரு கிளி உருகுது உரிமையில் பழகுது,0
குறும்புகள் தொடருது,0
அரும்புகள் மலருது தலிரிது மலரிதுதானா,0
இரு மனம் இணையுது,0
இரு கிளி தழுவுது,0
நிலவெரியும் இரவுகளில் மணல் வெளியில் சடுகுடுதான்,0
தலிரிது மலரிது தானா,0
இலைகளிலும் கிளைகளிலும்,0
வயல்வெளியில் பல கனவை,0
ஒரு ராகம் பாடலோடு காதில் கேட்டதோ,0
தினம் உறங்காமல் வாடுதே,0
சுகம் உறவாடத் தேடுதே,0
மாலை நேரக் காற்றே,0
மகிழ்ந்தாடும் தென்னங்கீற்றே,1
மாலை சூடினாலும்,0
காதல் தேவி எங்கே,0
தேடும் நெஞ்சம் அங்கே,0
ஏதோ நூறு ஜென்மம்,0
ஒன்று சேர்ந்து வந்த சொந்தம்,0
வாழும் காலம் யாவும்,0
காலம் தந்த பந்தம்,0
ஜீவநாகம் கேட்குதே,0
சேர்ந்து இன்பம் கூட்டுதே,0
மழை மேகம் வர வேணும்,0
மேகம் கருக்குது மழை வரை பார்க்குது,0
ஒயிலாக மயிலாடும்,0
துள்ளி துள்ளி ஓடுவதென்ன,0
ஏதோ நெஞ்சில் ஆசை வந்து,0
சேராமல் தீராது,0
கண்ணுக்குள்ள என்ன வச்சான்,0
பார்த்த கண்ணு சொக்கி சொக்கி,0
நீ வாடி நீ வாடி,0
வீசியடிக்குது காத்து,0
ஓல ஓலகுடிசையில கஞ்சி கஞ்சி கவலையில்ல,0
துன்பத்தில இன்பம் உண்டு,0
பொன்னால தாலிக் கட்டி பூமால போட்டது,0
நல்லதொரு நாள்தானே,0
கண்ணால ஜாட சொல்லி கையோட சேர்ந்தது,0
மச்சான வச்சுக்கடி மார் மேலதான்,0
பொண்டாட்டி ஆனாதான்,0
கொண்டாட்டம் கும்மாளம்,0
ஓல ஓலகுடிசையில கொஞ்சி கொஞ்சி விளையாடுங்க,0
பாட்டு உட்டுப்புட்டு ஒழுங்கா பந்திய வெய்யுங்கடா,0
நடைய கட்டணும் பத்தாது,0
பந்திய வெய்யுங்க பந்திய வெய்யுங்க,0
பொறுடா அண்ணன் பாட்ட கேட்டுட்டு,0
கட்டாத தொட்டிலுக்கு இப்போ வெத போடுங்க,0
எப்போதும் விட்டுவிட்டு வெள்ளாம போடுங்க,0
பூமி எடங் குடுத்தா போதாதம்மா,0
அப்பாவா ஆகபோற,0
தொடாத தாளம் போட வேண்டும்,1
வராத ராகம் பாட வேண்டும்,1
வாடை என்ற காற்றுக்கென்ன வந்தது,0
வாசமல்லி பூவுக்கென்ன ஆனது,0
கை தேர்ந்த சின்ன பெண்ணே,0
காதலுக்கு இன்று நல்ல யோகமே,0
காத்திருந்து காத்திருந்து பாரமே,0
அன்றாடம் ஆனந்தமே,0
அள்ளிக்கொள் நீயென்றுமே,0
பூவுக்கு பூவாலே மஞ்சம் ஒன்று,1
பொண்ணுக்கு பொன்னான நெஞ்சம் இன்று,0
காதல் என்ற வேதனை,0
நாளும் என்ன சோதனை,0
காண வேண்டும் தேவியை,0
வானும் காற்றும் பூமியும் வடிவம் கூட மாறலாம்,1
தேவி பேரை பாடும் நாவும்,0
வேறு பாடல் பாடுமோ,0
ஆவி என்று கலந்த ஜோதி,1
ஆனந்தம் என் வீட்டை மறந்தது,0
அழுது விழிகள் கறைந்தது,0
நீ வேறோ நான் வேறோ,0
தாயாய் மாறி நான் பாட,0
மஞ்சத்தில் கொஞ்சத்தான்,0
அள்ளித்தான் கிள்ளித்தான் காதலன்தான்,0
ஏதேதோ மோகம்தான்,0
உன்னைச் சுற்றும் ஆவி,0
ஏரிக்கரை பூவெல்லாம்,0
எந்தன் பெயர் சொல்லாதோ,0
ஆற்று மணல் மேடெங்கும்,0
நான் வரைந்த கோலங்கள்,0
இது காதல் சோதனை,0
இரு கண்ணில் வேதனை,0
எந்தனது கல்லறையில்,0
வேறொருவன் தூங்குவதா,0
சொந்தமுள்ள காதலியே,0
வற்றிவிட்ட காவிரியே,1
இது கண்ணீர் ராத்திரி,0
காதலான கண்ணீர் காணவில்லையா,0
உன்னை படைச்சான்,0
ஒன் நெஞ்சுக்கொரு உறவா,0
என்னை படைச்சான்,0
என் நெஞ்சுக்கொரு உறவா,0
உச்சி வெயில் வேளை நீ நடக்க,0
உச்சி முதல் பாதம் நான் சிலிர்க்க,0
முக்குளிக்க நானும் ஏங்குறேன்,0
கொஞ்சம் பொறு இரவாகட்டும்,0
எப்பம்மா எப்பம்மா காத்திருக்கேன்,0
தன்னன்னா தானானே தந்ததனனா,0
ஹை தன்னன்னா தானானே தந்ததனனா,0
பள்ளியறை பாட்டை நீ படிக்க,0
தட்டுறப்ப தாளம் திறந்திருக்க,0
கொஞ்சுறப்போ தேகம் நோகுமா,0
காயத்துக்கு களிம்பு பூசவா,0
அம்மம்மா அம்மம்மா ரொம்ப வேகம்,0
உன் நெஞ்சுக்கொரு உறவா,0
கண்ணாளனைக் கண்டாலென்ன,0
என் வேதனை சொன்னாலென்ன,0
கண்ணே நானிருக்க சோகம் என்னம்மா,0
உன்னை எண்ணி மூச்சிருக்குது,0
கொக்கு ஒண்ணு காத்திருக்குது,0
என் தேவியைக் கண்டாலென்ன,0
உன்னை மீறி ஒரு மாலை வருமா,0
சொந்தம் மாறி விடுமா,0
உள்ளம் காத்திருந்து இற்று விடுமா,0
பன்னீருக்கும் மண்ணெண்ணைக்கும்,0
காவலுக்கு நாதி இல்லையா,0
வாழ்வான வாழ்வெனக்கு வந்ததென்று நானிருந்தேன்,0
நானிருந்து வாடுகின்றேன்,0
ஆற்றங்கரை ஓரத்திலே யாருமற்ற நேரத்திலே,0
பூத்திருந்த மலரெடுத்து பூங்குழலில் சூடிவைத்து,1
பாட்டு தலைவன் பாடினால் பாட்டுதான்,1
சோர்ந்த போது சேர்த்த சுருதி,0
கைகள் வா்ணம் தீட்டும் நேரம்,0
காதலே வாழ்கவே ஆயிரம் காலமே,0
சோர்ந்த போது சேர்த்த சுருதி,0
பாதி ஜாமம் பாயும் போதும்,0
ஊரை தூக்கம் ஆளும் போது,0
ஆசையின் மேடையில் நாடகம் ஆடலாம்,1
யார் வீட்டில் ரோஜா பூ பூத்ததோ,0
மேகம் தன்னை மேகம் மோதி,1
மின்னல் இந்த நேரம்,0
ஒரு ராகம் புது ராகம்,1
ஜீவன் அங்கே என்னைத் தேடும்,0
காணாமல் கண்கள் நோகின்றதோ,0
பூங்காற்று போராடவே,1
வான் மேகம் மோதும் மழைதனிலே,0
பாடல் இங்கே நனைவதனாலே,0
ஓர் காற்றின் கைகளும் தீண்டுமோ,1
என் காவல் எல்லையைத் தாண்டுமோ,1
நியாயங்கள் வாய் மூடுமோ,0
இதில் வாழும் தேவி நீ,0
ஆத்ம ராகம் ஒன்றில்தான்,0
ஆடும் உயிர்கள் என்றுமே,0
உயிரின் ஜீவ நாடிதான்,0
பாடல்கள் ஒரு கோடி எதுவும் புதிதில்லை,1
ராகங்கள் கோடி கோடி எதுவும் புதிதில்லை,1
காமம் தேடும் உலகிலே,0
கீதம் என்னும் தீபத்தால்,0
ராம நாமம் மீதிலே,0
அவர் பாடலில் ஜீவன் அதுவே அவரானார்,0
நீயும் நானும் போவது,0
காதல் என்னும் பாதையில் சேரும் நேரம் வந்தது,0
மீராவின் கண்ணன் மீராவிடமே,1
எனதாருயிர் ஜீவன் என்னை ஆண்டாளே,0
கூட்டத்திலே கோவில் புறா,0
கொலுசுச் சத்தம் கேட்கையிலே,0
மனம் தந்தியடிக்குது தந்தியடிக்குது,0
குமரிப் பெண்ணைப் பார்க்கையிலே,0
நான் பாடும் ராகங்கள் யார் தந்தது,0
என் காதல் தேவி நீ தந்தது,0
பூங்குயிலே உந்தன் பாதையிலே,1
பாவை உன்னை எண்ணிக்கொண்டு பாடுகின்றேன் பாடலொன்று,0
நெஞ்சுக்குள்ளே நீயும் வந்து ஆயிரம் காவிய நாடகமாடிட,0
நீதானே நானாடும் பிருந்தாவனம்,1
நின்றாடும் தேகம் ரோஜாவனம்,1
கன்னிப்பெண்ணே நீயும் இல்லையென்றால்,0
கண்ணீரில் உன்னைத் தேடுகின்றேன்,0
உன்னைக் கண்டு தென்றலும் நின்று போனதுண்டு,0
உன்னைக் காண வெண்ணிலா,0
ஏன் தேவி இன்று நீ என்னைக் கொல்கிறாய்,0
முள் மீது ஏனடி தூங்கச் சொல்கிறாய்,0
உன்னைத் தேடித் தேடியே,0
எந்தன் ஆவி போனது,0
கூடுதானே இங்கு பாடுது,0
காதல் வாங்கி வந்தேன்,0
வாங்கி வந்த பின்புதான்,0
என் சாபம் தீரவே நீயும் இல்லையே,0
என் சோகம் பாடவே,1
பூவும் வீழ்ந்து போனது,0
காம்பு என்ன வாழ்வது,0
காலம் என்னைக் கேள்வி கேட்குது,0
கண்மணி லாலி பொன்மணி லாலி,0
நான் தொடைகளில் தாங்கியே தாலாட்டிட,0
தலை சாய்த்திட மடிபாய் மேல்,0
திருமேனிக்கு சுகமோ,0
எந்த நாளிலும் வாடாத,0
இதைக் காப்பது என்றும் பார்ப்பது,0
மேகமே ஓரமாய் நீ ஒதுங்கிடு,1
குயிலியே பாடிவா என் பாடலை,0
எழும் சந்தமும் இனிதாக,0
அதன் ஓசைகள் சுகமோ,0
இந்த நாளொரு அலைபாய,0
எந்தன் ஆசையும் நிறைவேறிட,0
ஓ ப்ரியா ப்ரியா என் ப்ரியா ப்ரியா,0
ஏழை காதல் வாழுமோ,0
இருளும் ஒளியும் சேருமோ,0
நீயோர் ஓரம் நான் ஓர் ஓரம்,0
இணைந்திடாது போவதோ,0
வானம் பூமி ஆவதோ,0
காலம் சிறிது காதல் மனது,0
தேடும் கண்களே,1
தேம்பும் நெஞ்சமே,0
வீடும் பொய்யடி,0
ஆணையிட்டு மாறுமோ,0
ராஜ மங்கை கண்களே,1
என்றும் என்னை மொய்ப்பதோ,0
வாடும் ஏழை இங்கு ஓர்,0
எதனாலும் ஒரு நாளும்,0
எரித்தாலும் மரித்தாலும்,0
கன்னி மானும் உன்னுடன்,0
கலந்ததென்ன பாவமோ,0
காதல் என்ன காற்றிலே குலைந்து,0
போகும் மேகமோ,0
அம்மாடி நான் ஏங்கவோ,0
காளிதாசன் ஏடுகள்,0
கண்ணன் ராசலீலைகள்,0
பருவமோகம் தந்தது பாவம் அல்லவே,0
பாவம் அல்லவே ஷாஜகானின் காதலி,0
பாசம் வைத்த பாவம்தான்,0
விழியில் பூக்கும் நேசமாய்,0
புனிதமான பந்தமாய்,0
பேசும் இந்த பாசமே,0
இன்று வெற்றி கொள்ளுமே,0
ஏக்கம் என்ன பைங்கிளி,1
நெஞ்சிரண்டு நாளும் பாட,0
காணும் மங்களம்,1
பிரேமை நாடகம்,1
அள்ளி வச்ச மல்லிகையே,0
என்ன தயக்கம் என்ன மயக்கம்,0
காதில் சொன்ன வார்த்த,0
என்னை காவல் காக்குமா,0
தங்கம் நெறம் கருக்குமா,1
ஊர் ஒலகம் பொறுக்குமா,0
ஆகாயமும் இந்த மண்ணும் சாட்சியடி,1
பாதம் நோகும் போது,0
பொய்யே சொல்ல வேணாம்,0
மச்சான் தொட்ட மஞ்ச கிளி,1
வெட்க பட்டு சொக்கி நிக்குது,0
இந்த அல்லி தண்டு என்ன கண்டு,1
வள்ளி பொன்னே நான் இருக்க,0
அச்சம் என்ன உனக்கு,0
அந்த நாளை நெஞ்சில் வச்சு,0
உன் கேலி போதுமடி மாங்கா தின்னும் மாதமடி,0
அடி பெண்ணே வயிறு வரும் முன்னே,0
நெஞ்சுக்குள்ளே ஏதோ ஆசை,0
யாரை பாத்து நானும் பேச அலை பாயுது வாலிப மனசு,0
உன் வீட்டு தூளியடி,0
என் வீட்டு தூளியடி,0
அந்த சுட்டி வளரும் தங்க கட்டி,1
பாத்து புட்டா கண்ணும் கூசும்,0
உனக்கும் ஒரு கிளி வந்து பொறக்கும்,0
பாய் விரிச்சு படுக்கணும்ன்னா ராசா ராசா,0
என் பக்கத்திலே நீ இருக்கணும் ராசா ராசா,0
வெளக்கு இறக்கி முகம் பாக்கணும் ராசா ராசா,0
ஒட்டுத் திண்ணையிலே ஒரு நாளு பழக்கத்திலே,0
ஒட்டிக்கிச்சு நம்ம உறவு,0
ஆடிக் காத்து அடிச்சிப் பின்னுது,0
மழை அடிக்குது குளிர் அடிக்குது,0
மனசுக்குள்ளே புயல் அடிக்குது,0
உன் சேலப் பட்டதும் சூடேறுது,1
தேகம் ஒரு சுகம் கேட்குது,0
ஈரச் சேலையை இப்ப மாத்திக்க,0
பாய் விரிச்சு படுத்துக்கலாம் வாடிப் புள்ள,0
ஆச பத்திக்கிச்சு பத்திக்கிச்சு நெஞ்சுக்குள்ளே,0
இழுத்து இழுத்து போர்த்திக்கிட்ட போர்வைக்குள்ளே,0
நெஞ்சோடு உன்ன நெனச்சேன்,0
ஆடி முடிந்ததும் போடுறேன் அச்சாரம்,0
என் சந்தேகம் தீரலியே,0
ஒரு நோயால் என்று மனம் வாடி நின்றேன்,0
உன் சந்தேகம் தீரலியா,0
கெட்டி மேளம் கொட்டி ஒரு தாலி கட்டு,0
விருந்தும் நான் ஆவேன்,0
மார்கழிப் பனியினிலே,0
நல்லதோர் மோகம் கூடுதடி,1
மாந்தளிர் மேனி தொட்டால்,1
பாவை என்றால் ஒரு வேலி உண்டு,0
அதைத் தாண்டாதே ஆசையினால்,0
பூ மாலையை நீ சூடும் அன்று,0
காய் ஒன்று கனியாமல்,1
அதை சுவைக்கின்ற ஆசை என்ன,0
கல்யாணம் ஆகாமல்,0
ஆசை வந்தால் அங்கு வெட்கம் ஏது,0
என்றும் நீதானே என் சொந்தம்,0
மாலை என்றும் ஒரு வேலி என்றும்,0
மோகம் என்னும் தீயில் உந்தன்,1
அது காயுதிங்கே ஒரு காதல் தீயில்,0
வாடுதே என் ஆவியே கேட்குதா என் பாடலே,0
துடிக்குதே என் நெஞ்சமே,0
தேடுதே உன் தஞ்சமே,0
அட யாரோ பின்பாட்டுப் பாட,0
நையான்டி மேளம் நான் கொட்டவா,0
ஓர விழியிலே சேரத் துடிச்ச,0
அடி தாலி கட்டத்தாண்டி,0
நல்ல தேதி சொல்லி வாடி,0
ஏய் ஹேய் ஹோய்,0
கூட பூவச் சூடி அது வாடக் கூடும் தேவி,0
புதுக் கண்ணாடி வளையல் திண்டாடி,1
மறுநாள் ஒடஞ்சாச்சு திருநாள் முடிஞ்சாச்சு,1
அடிக் கைப்பட்டு மெய் பட்டு,0
தேனு கொழச்சே வீணை சுரத்த,0
அடி மோகம் தலைக்கு ஏற,0
தேகம் இளைச்சு வாட,0
ரோஜா குல்கந்து தந்தா இனிக்காதோ,0
யாரோ பின்பாட்டுப் பாட,0
ஹான் ஹான் ஹா ஹா ஹா,0
ஆஹ் நையாண்டி மேளம் நான் கொட்டவா,0
நையாண்டி மேளம் நான் கொட்டவா,0
வசந்த காலங்கள் இசைந்து பாடுங்கள்,0
நதிதனில் ஆடி கவி பல பாடி,0
இதயத்தில் சலனம் அம்மம்மா,0
ஒரு ஏகாந்த ராகம் தெம்மாங்கில் பாட,0
தாகம் தீர்த்திடுமோ,0
பூவில் மோதப் பாதம் நோக,0
மாங்கனி நிறத்தால் அம்மம்மா,0
சுரு வாழையின் மென்மையை,1
மேனியில் கொண்டவளே,0
நெளிகின்ற நளினம்,0
தேவை உந்தன் சேவை என்று இதழ்கள் ஊருமடி,0
வசந்தம் பாடி வர வைகை ஓடி வர,1
இளமை கூடி வர இனிமை தேடி வர,0
ஆராதனை செய்யட்டுமா,0
கரை புரண்டு ஓடும்,0
தேன் கரற்கண்டின் சாரம்,0
தினம் தினம் கேட்டிட பிறந்திடும் புதுவித ராகம்,1
மந்திரங்கள் கமழ,0
மயக்கம் வரவழைக்கும்,0
இழைந்திடும் குரல் என்னில் மோகம்,0
அமுதுண்ண நினைத்திடும்,0
உதிர்ந்த மாயம் என்ன,0
நூலுமில்லை வாளுமில்லை,0
வானில் பட்டம் விடுவேனா,1
நாதி இல்லை தேவி இல்லை,0
நினைவு வெள்ளம் பெருகி வர,1
படுக்கை விரித்து போட்டேன்,0
பாழும் உலகை வெறுத்தேன்,0
மண்ணுலகில் ஜென்மம் என,0
என்னை ஏனோ இன்று வரை விட்டு வைத்தாய்,0
